x	xend	y	yend
-88.17	-88.17	30.7	30.7
-86.3	-86.3	31.25	31.25
-88.07	-88.07	30.82	30.82
-86.65	-86.65	33.93	33.93
-87.7	-87.67	30.48	30.48
-87.48	-87.47	34.9	34.93
-87.42	-87.42	34.1	34.1
-85.87	-85.87	34.5	34.5
-85.93	-85.93	34.47	34.47
-86.08	-86.05	33.95	33.93
-85.98	-85.98	32.62	32.62
-86.48	-86.48	31.3	31.3
-86.45	-86.45	32.5	32.5
-85.98	-85.98	32.62	32.62
-87.67	-87.67	34.68	34.7
-88.02	-88.02	30.23	30.23
-87.68	-87.68	30.28	30.28
-87.47	-87.45	34.17	34.18
-87.73	-87.73	31.92	31.92
-87.92	-87.92	30.47	30.47
-87.82	-87.82	34.58	34.58
-87.05	-87.05	34.37	34.37
-87.67	-87.65	33.83	33.83
-112.28	-112.65	34.55	34.55
-111.33	-111.42	33.27	33.27
-112.23	-112.23	34.53	34.53
-112.32	-112.32	34.73	34.73
-111.33	-111.33	35.2	35.2
-90.7	-90.7	35.85	35.88
-90.38	-90.38	36.18	36.18
-94.28	-94.28	36	36
-90.5	-90.42	35.93	36
-90.83	-90.8	35.92	35.97
-93.22	-93.07	33.25	33.27
-90.97	-90.97	36.27	36.27
-92.92	-92.88	34.2	34.2
-93.6	-93.48	35.45	35.45
-91	-90.93	35.83	35.92
-92.05	-92.02	35.2	35.22
-90.6	-90.57	35.73	35.77
-93.75	-93.5	33.72	33.93
-92.1	-92.07	34.82	34.83
-91.4	-91.28	35.5	35.6
-94.23	-94.23	34.58	34.58
-94.27	-94.27	35.48	35.48
-91.52	-91.42	35.65	35.72
-93.4	-93.32	33.1	33.17
-91.63	-91.28	33.02	33.37
-91.92	-91.8	35.05	35.13
-94.47	-94.18	33.6	33.83
-93.17	-93.17	35.42	35.42
-93.05	-93.05	34.1	34.1
-94.42	-94.42	35.38	35.38
-92.97	-92.95	34.2	34.25
-93.43	-93.33	35.45	35.43
-91.9	-91.82	34.43	34.48
-91.43	-91.33	35.9	35.97
-91.12	-91.1	35.53	35.58
-93.12	-92.95	35.47	35.5
-90.05	-90.05	35.57	35.57
-90.3	-90.3	36.27	36.27
-90.67	-90.53	36.38	36.42
-94.37	-93.9	34.2	34.25
-90.63	-90.62	36.47	36.47
-93.92	-93.82	33.05	33.05
-93.07	-92.92	35.23	35.3
-93.23	-93.13	35.03	35.13
-93.53	-93.52	35.52	35.55
-91.52	-91.38	36.45	36.55
-93.52	-93.47	33.5	33.55
-91.43	-91.12	35.65	35.97
-92.05	-92.03	35.22	35.22
-93.65	-93.3	34.23	34.22
-93.13	-93.07	35.28	35.33
-92.65	-92.63	34.32	34.37
-92.63	-92.57	33.92	34.1
-91.65	-91.5	34.85	35.03
-94.18	-94.18	35.3	35.3
-94.2	-94	34.62	34.67
-92.62	-92.57	33.9	33.93
-92.7	-92.62	35.45	35.52
-91.52	-91.45	36.45	36.5
-94.12	-93.85	33.33	33.45
-90.7	-90.62	36.17	36.18
-91	-91	35.4	35.4
-92.87	-92.82	34.2	34.23
-91.98	-91.97	35.72	35.72
-91	-91	36.05	36.05
-91.9	-91.82	35.35	35.47
-91.27	-91.25	35.25	35.28
-91.95	-91.95	35.02	35.05
-91.02	-91.02	34.93	34.93
-91.98	-91.9	35.25	35.35
-91.55	-91.32	35.57	35.8
-90.47	-90.32	36.2	36.23
-91.15	-91.15	35.77	35.77
-93.92	-93.75	34.2	34.22
-92.62	-92.4	35.48	35.52
-91.1	-91.03	35.62	35.68
-92.73	-92.55	34.23	34.23
-92.42	-92.22	34.55	34.82
-92.22	-92.13	33	33.07
-91.95	-91.83	34.42	34.62
-90.98	-90.77	35.73	35.88
-92.17	-92.02	34.98	35.07
-91.9	-91.88	35.08	35.08
