x	y	group	clickSelects
-87.4620056152344	30.3896808624268	0	AL
-87.4849319458008	30.3724918365479	0	AL
-87.525032043457	30.3724918365479	0	AL
-87.53076171875	30.3323860168457	0	AL
-87.5708694458008	30.3266544342041	0	AL
-87.5880584716797	30.3266544342041	0	AL
-87.5937881469727	30.3094673156738	0	AL
-87.5937881469727	30.286548614502	0	AL
-87.6740036010742	30.275089263916	0	AL
-87.8115158081055	30.2579021453857	0	AL
-87.8802642822266	30.2464408874512	0	AL
-87.9203720092774	30.2464408874512	0	AL
-87.9547500610352	30.2464408874512	0	AL
-88.0063171386719	30.2407131195068	0	AL
-88.0177764892578	30.2521705627441	0	AL
-88.0120468139648	30.2693595886231	0	AL
-87.9948577880859	30.275089263916	0	AL
-87.9547500610352	30.275089263916	0	AL
-87.9031829833984	30.2808208465576	0	AL
-87.8286972045899	30.286548614502	0	AL
-87.8000564575195	30.286548614502	0	AL
-87.8000564575195	30.3266544342041	0	AL
-87.8172378540039	30.3438453674316	0	AL
-87.8401565551758	30.3839530944824	0	AL
-87.8516235351563	30.4011421203613	0	AL
-87.8745346069336	30.4125995635986	0	AL
-87.9031829833984	30.4240608215332	0	AL
-87.9261016845703	30.4469795227051	0	AL
-87.9318313598633	30.4928131103516	0	AL
-87.9432907104492	30.527193069458	0	AL
-87.9203720092774	30.5615692138672	0	AL
-87.9146423339844	30.5844879150391	0	AL
-87.9261016845703	30.6188640594482	0	AL
-87.9203720092774	30.670431137085	0	AL
-87.9490203857422	30.6990776062012	0	AL
-87.989128112793	30.7907524108887	0	AL
-88.0063171386719	30.7964820861816	0	AL
-88.0177764892578	30.802209854126	0	AL
-88.0349655151367	30.7907524108887	0	AL
-88.0464248657227	30.7563762664795	0	AL
-88.0521545410156	30.727725982666	0	AL
-88.0521545410156	30.7105388641357	0	AL
-88.063606262207	30.6876201629639	0	AL
-88.0693435668945	30.6818885803223	0	AL
-88.0808029174805	30.6303253173828	0	AL
-88.0808029174805	30.6131362915039	0	AL
-88.0979919433594	30.6074066162109	0	AL
-88.1094436645508	30.5959453582764	0	AL
-88.1151809692383	30.5844879150391	0	AL
-88.1094436645508	30.5558376312256	0	AL
-88.1209106445313	30.4813556671143	0	AL
-88.1209106445313	30.4412479400635	0	AL
