x	y	showSelected1
-86.85	34.67	2006
-87.4872	32.8279	2011
-86.47	34.35	2006
-87.9	34.37	2006
-86.78	31.18	2004
-85.65	34.4	2006
-86.8455	32.635	2012
-86.18	34.85	1974
-86.33	33.72	2002
-87.47	31.15	2005
-88.33	31.77	2004
-87.87	35	2004
-86.93	34.62	2006
-86.22	32.87	1968
-86.11	32.46	2008
-84.98	32.45	1961
-86.78	33.63	2006
-85.85	33.78	1964
-86.23	31.39	2006
-86.98	33.3	2004
-86.98	33.92	1998
-86.18	33.32	1984
-85.3548	32.5148	2009
-86.35	32.45	1984
-88.03	34.92	2004
-86.18	33	2004
-85.13	31.4	1974
-86.5122	32.7857	2011
-86.01	31.47	2006
-86.1378	32.6544	2010
-86.77	34.23	2006
-85.52	31.67	1968
-87.4	33.2	2000
-85.3433	34.5678	2010
-87.8924	34.3226	2011
-87	34.92	2004
-86.88	32.28	2004
-87.4545	30.4012	2011
-86.0729	32.8493	2012
-87.42	33.85	1998
-86.05	31.12	1998
-86.9	34.37	1955
-88.21	33.83	2007
-85.3666	32.4388	2009
-88.361	31.926	2011
-86.7931	33.8532	2010
-86.4	32.52	2004
-86.0463	33.9577	2011
-85.15	33.73	1964
-87.02	32.52	2004
-87.42	34.85	1968
-88.25	32.1	1968
-85.2633	33.0836	2011
-87.35	34.18	2005
-87.75	31.08	2006
-86.8	34.8	2004
-87.45	33.33	2000
-86.63	32.47	2005
-86.82	34.37	1958
-85.7752	34.4558	2010
-88.05	33.73	2005
-86.68	34.8	2001
-88.18	33.75	2008
-86.4153	32.4615	2010
-86.45	31.23	2002
-85.98	34.58	1958
-85.4057	33.0109	2012
-87.25	34.97	2008
-88.12	30.75	1983
-88.15	33.13	1996
-87.38	34.82	2004
-86.1085	34.3181	2010
-88.12	30.37	2005
-85.85	31.32	1998
-87.88	34.22	2006
-87.82	32.06	2008
-87.72	33.5	2005
-87.58	34.15	2005
-85.9	31.8	1969
-86.45	32.3	1996
-86.62	34.73	1958
-86	32.45	2006
-85.5183	34.5474	2010
-85.88	31.03	1998
-87.4	32.3	2004
-87.35	31.43	2005
-86.62	33.6	2006
-86.72	34	1998
-87.05	34.45	2006
-86.57	34.2	1997
-85.8	32.9	1996
-87.28	34.33	1997
-86.02	33.43	1967
-87.47	34.45	2006
-87.32	31.73	1996
-86.5	35	2006
-85.33	33.73	1964
-87.92	33.65	2005
-85.82	33.25	2003
-87.44	33.54	2008
-85.49	31.68	2008
-87.75	30.75	1981
-86.3491	34.2831	2011
-86.82	33.78	1967
-87.85	33.4	2005
-85.58	31.12	1980
-86.13	31.27	1996
-86.0417	33.1252	2010
-86.23	35.05	2004
-87.72	30.55	1983
-85.73	33.32	2003
-85.57	31.45	1954
-87.67	34.8	2004
-86.49	34.42	2008
-86.82	33.75	1972
-87.9033	33.5669	2009
-85.1	31.3	1974
-85.1	31.7	2007
-85.63	31.2	1997
-87.9	30.7	1969
-87.09	33.9	2008
-85.57	33.64	2008
-85.9602	34.2203	2010
-87.23	34.98	2004
-87.8434	31.3954	2011
-85.04	31.78	2007
-86.39	32.2	2006
-87.6	33.23	1984
-87.422	32.6274	2010
-86.2	33.88	1967
-87.5	32.45	1967
-87.55	30.3	2004
-85.3	33.53	1975
-87.68	34.85	2003
-87.67	34.75	2003
-88.02	30.23	2005
-87.72	34.2	2008
-87.85	31.78	2004
-86.83	33.47	1963
-85.08	32.53	1957
-86.87	34.77	2004
-87.58	33.45	2007
-87.3	33.9	1967
-86.13	34.28	1968
-85.75	32.88	1964
-87.58	32.47	1976
-86.823	33.2538	2010
-87.5	31.03	1995
-87.66	30.98	2006
-87.85	33.95	2005
-87	34.5	1974
-85.27	33.37	2003
-85.7	32.97	1996
-85.73	33.33	1984
-85.72	31.4	1988
-86.98	34.87	2000
-87.23	31.2	2003
-88.467	31.927	2011
-86.62	34.73	1997
-86.2	33.8	1964
-85.23	32.6	1975
-87.87	30.68	1981
-86.55	35	2004
-86	33.77	2006
-88.07	30.82	1997
-87.25	31.53	1957
-85.85	31.05	1997
-86.75	34.33	1958
-86.25	34.8	1995
-87.5	34.31	2007
-85.5	31.32	1974
-87.73	31.78	1983
-86.4308	34.99	2011
-86.4831	34.3514	2010
-87.14	32.27	2007
-85.69	34.76	2008
-86.5469	34.1643	2010
-86.43	34.97	1951
-86.93	31.5	2004
-88.17	31.4	1971
-87.4395	33.4038	2012
-86.8654	33.8264	2009
-86.27	33.12	2008
-85.08	32.4273	2009
-85.28	31.42	2006
-87.77	32.37	2003
-86.2367	32.8157	2012
-87.66	34.2	2007
-86.22	32.5	1996
-85.97	32.78	1996
-88.42	31.33	1976
-86.3	33.45	1985
-86.62	34.27	1983
-85.42	34.07	1963
-86.9117	34.8938	2009
-86.09	32.21	2007
-86.78	33.32	2000
-87.02	34.77	1984
-88.403	31.473	2011
-85.87	34.4	1992
-84.98	32.45	1961
-86.556	34.76	2010
-86.48	34.8	1967
-86.22	31.7	1965
-86.6	34.15	2002
-86.58	34.75	1974
-88.25	31.12	1959
-86.09	32.41	2006
-86.87	33.98	1998
-86.08	33.45	1953
-87.02	33.89	2008
-87.23	33.88	1998
-86.9	32.67	1959
-86.63	32.57	1976
-87.12	34.32	1957
-86.27	34.39	2008
-86.12	33.77	1975
-85.6	31.12	1998
-85.38	32.25	1981
-86.58	34.87	2002
