clickSelects	showSelected1	group	ymin	ymax	xmin	xmax
1950	OK	1	0	13	1949.55	1950.45
1951	OK	1	0	32	1950.55	1951.45
1952	OK	1	0	15	1951.55	1952.45
1953	OK	1	0	34	1952.55	1953.45
1954	OK	1	0	44	1953.55	1954.45
1955	OK	1	0	65	1954.55	1955.45
1956	OK	1	0	40	1955.55	1956.45
1957	OK	1	0	95	1956.55	1957.45
1958	OK	1	0	25	1957.55	1958.45
1959	OK	1	0	51	1958.55	1959.45
1960	OK	1	0	58	1959.55	1960.45
1961	OK	1	0	47	1960.55	1961.45
1962	OK	1	0	48	1961.55	1962.45
1963	OK	1	0	21	1962.55	1963.45
1964	OK	1	0	39	1963.55	1964.45
1965	OK	1	0	58	1964.55	1965.45
1966	OK	1	0	27	1965.55	1966.45
1967	OK	1	0	35	1966.55	1967.45
1968	OK	1	0	41	1967.55	1968.45
1969	OK	1	0	25	1968.55	1969.45
1970	OK	1	0	33	1969.55	1970.45
1971	OK	1	0	30	1970.55	1971.45
1972	OK	1	0	27	1971.55	1972.45
1973	OK	1	0	45	1972.55	1973.45
1974	OK	1	0	27	1973.55	1974.45
1975	OK	1	0	14	1974.55	1975.45
1976	OK	1	0	17	1975.55	1976.45
1977	OK	1	0	37	1976.55	1977.45
1978	OK	1	0	12	1977.55	1978.45
1979	OK	1	0	36	1978.55	1979.45
1980	OK	1	0	15	1979.55	1980.45
1981	OK	1	0	57	1980.55	1981.45
1982	OK	1	0	69	1981.55	1982.45
1983	OK	1	0	71	1982.55	1983.45
1984	OK	1	0	45	1983.55	1984.45
1985	OK	1	0	27	1984.55	1985.45
1986	OK	1	0	25	1985.55	1986.45
1987	OK	1	0	12	1986.55	1987.45
1988	OK	1	0	6	1987.55	1988.45
1989	OK	1	0	10	1988.55	1989.45
1990	OK	1	0	25	1989.55	1990.45
1991	OK	1	0	41	1990.55	1991.45
1992	OK	1	0	36	1991.55	1992.45
1993	OK	1	0	49	1992.55	1993.45
1994	OK	1	0	29	1993.55	1994.45
1995	OK	1	0	56	1994.55	1995.45
1996	OK	1	0	50	1995.55	1996.45
1997	OK	1	0	57	1996.55	1997.45
1998	OK	1	0	85	1997.55	1998.45
1999	OK	1	0	143	1998.55	1999.45
2000	OK	1	0	44	1999.55	2000.45
2001	OK	1	0	61	2000.55	2001.45
2002	OK	1	0	18	2001.55	2002.45
2003	OK	1	0	81	2002.55	2003.45
2004	OK	1	0	62	2003.55	2004.45
2005	OK	1	0	27	2004.55	2005.45
2006	OK	1	0	30	2005.55	2006.45
2007	OK	1	0	50	2006.55	2007.45
2008	OK	1	0	71	2007.55	2008.45
2009	OK	1	0	35	2008.55	2009.45
2010	OK	1	0	104	2009.55	2010.45
2011	OK	1	0	122	2010.55	2011.45
2012	OK	1	0	63	2011.55	2012.45
1950	FL	2	0	2	1949.55	1950.45
1951	FL	2	0	5	1950.55	1951.45
1952	FL	2	0	4	1951.55	1952.45
1953	FL	2	0	14	1952.55	1953.45
1954	FL	2	0	8	1953.55	1954.45
1955	FL	2	0	5	1954.55	1955.45
1956	FL	2	0	7	1955.55	1956.45
1957	FL	2	0	9	1956.55	1957.45
1958	FL	2	0	17	1957.55	1958.45
1959	FL	2	0	8	1958.55	1959.45
1960	FL	2	0	21	1959.55	1960.45
1961	FL	2	0	9	1960.55	1961.45
1962	FL	2	0	13	1961.55	1962.45
1963	FL	2	0	15	1962.55	1963.45
1964	FL	2	0	25	1963.55	1964.45
1965	FL	2	0	7	1964.55	1965.45
1966	FL	2	0	15	1965.55	1966.45
1967	FL	2	0	16	1966.55	1967.45
1968	FL	2	0	35	1967.55	1968.45
1969	FL	2	0	35	1968.55	1969.45
1970	FL	2	0	21	1969.55	1970.45
1971	FL	2	0	16	1970.55	1971.45
1972	FL	2	0	10	1971.55	1972.45
1973	FL	2	0	10	1972.55	1973.45
1974	FL	2	0	31	1973.55	1974.45
1975	FL	2	0	60	1974.55	1975.45
1976	FL	2	0	45	1975.55	1976.45
1977	FL	2	0	25	1976.55	1977.45
1978	FL	2	0	53	1977.55	1978.45
1979	FL	2	0	56	1978.55	1979.45
1980	FL	2	0	26	1979.55	1980.45
1981	FL	2	0	30	1980.55	1981.45
1982	FL	2	0	12	1981.55	1982.45
1983	FL	2	0	31	1982.55	1983.45
1984	FL	2	0	4	1983.55	1984.45
1985	FL	2	0	7	1984.55	1985.45
1986	FL	2	0	3	1985.55	1986.45
1987	FL	2	0	2	1986.55	1987.45
1988	FL	2	0	5	1987.55	1988.45
1989	FL	2	0	3	1988.55	1989.45
1990	FL	2	0	15	1989.55	1990.45
1991	FL	2	0	19	1990.55	1991.45
1992	FL	2	0	30	1991.55	1992.45
1993	FL	2	0	42	1992.55	1993.45
1994	FL	2	0	60	1993.55	1994.45
1995	FL	2	0	70	1994.55	1995.45
1996	FL	2	0	65	1995.55	1996.45
1997	FL	2	0	113	1996.55	1997.45
1998	FL	2	0	103	1997.55	1998.45
1999	FL	2	0	56	1998.55	1999.45
2000	FL	2	0	75	1999.55	2000.45
2001	FL	2	0	69	2000.55	2001.45
2002	FL	2	0	43	2001.55	2002.45
2003	FL	2	0	43	2002.55	2003.45
2004	FL	2	0	106	2003.55	2004.45
2005	FL	2	0	54	2004.55	2005.45
2006	FL	2	0	42	2005.55	2006.45
2007	FL	2	0	47	2006.55	2007.45
2008	FL	2	0	46	2007.55	2008.45
2009	FL	2	0	35	2008.55	2009.45
2010	FL	2	0	17	2009.55	2010.45
2011	FL	2	0	40	2010.55	2011.45
2012	FL	2	0	48	2011.55	2012.45
1950	KS	3	0	25	1949.55	1950.45
1951	KS	3	0	41	1950.55	1951.45
