x	y	label	showSelected1	group
1980	200	AL	AL	6
1980	200	AZ	AZ	45
1980	200	AR	AR	10
1980	200	CA	CA	42
1980	200	CO	CO	26
1980	200	CT	CT	28
1980	200	DE	DE	27
1980	200	DC	DC	23
1980	200	FL	FL	2
1980	200	GA	GA	24
1980	200	ID	ID	44
1980	200	IL	IL	4
1980	200	IN	IN	8
1980	200	IA	IA	7
1980	200	KS	KS	3
1980	200	KY	KY	18
1980	200	LA	LA	9
1980	200	ME	ME	41
1980	200	MD	MD	11
1980	200	MA	MA	31
1980	200	MI	MI	30
1980	200	MN	MN	21
1980	200	MS	MS	5
1980	200	MO	MO	15
1980	200	MT	MT	43
1980	200	NE	NE	12
1980	200	NV	NV	49
1980	200	NH	NH	36
1980	200	NJ	NJ	33
1980	200	NM	NM	39
1980	200	NY	NY	35
1980	200	NC	NC	17
1980	200	ND	ND	25
1980	200	OH	OH	20
1980	200	OK	OK	1
1980	200	OR	OR	48
1980	200	PA	PA	32
1980	200	RI	RI	34
1980	200	SC	SC	13
1980	200	SD	SD	19
1980	200	TN	TN	14
1980	200	TX	TX	16
1980	200	UT	UT	47
1980	200	VT	VT	40
1980	200	VA	VA	29
1980	200	WA	WA	46
1980	200	WV	WV	38
1980	200	WI	WI	22
1980	200	WY	WY	37
