x	y	label	showSelected1	showSelected2	group
1950	18	13	OK	1950	1
1951	37	32	OK	1951	1
1952	20	15	OK	1952	1
1953	39	34	OK	1953	1
1954	49	44	OK	1954	1
1955	70	65	OK	1955	1
1956	45	40	OK	1956	1
1957	100	95	OK	1957	1
1958	30	25	OK	1958	1
1959	56	51	OK	1959	1
1960	63	58	OK	1960	1
1961	52	47	OK	1961	1
1962	53	48	OK	1962	1
1963	26	21	OK	1963	1
1964	44	39	OK	1964	1
1965	63	58	OK	1965	1
1966	32	27	OK	1966	1
1967	40	35	OK	1967	1
1968	46	41	OK	1968	1
1969	30	25	OK	1969	1
1970	38	33	OK	1970	1
1971	35	30	OK	1971	1
1972	32	27	OK	1972	1
1973	50	45	OK	1973	1
1974	32	27	OK	1974	1
1975	19	14	OK	1975	1
1976	22	17	OK	1976	1
1977	42	37	OK	1977	1
1978	17	12	OK	1978	1
1979	41	36	OK	1979	1
1980	20	15	OK	1980	1
1981	62	57	OK	1981	1
1982	74	69	OK	1982	1
1983	76	71	OK	1983	1
1984	50	45	OK	1984	1
1985	32	27	OK	1985	1
1986	30	25	OK	1986	1
1987	17	12	OK	1987	1
1988	11	6	OK	1988	1
1989	15	10	OK	1989	1
1990	30	25	OK	1990	1
1991	46	41	OK	1991	1
1992	41	36	OK	1992	1
1993	54	49	OK	1993	1
1994	34	29	OK	1994	1
1995	61	56	OK	1995	1
1996	55	50	OK	1996	1
1997	62	57	OK	1997	1
1998	90	85	OK	1998	1
1999	148	143	OK	1999	1
2000	49	44	OK	2000	1
2001	66	61	OK	2001	1
2002	23	18	OK	2002	1
2003	86	81	OK	2003	1
2004	67	62	OK	2004	1
2005	32	27	OK	2005	1
2006	35	30	OK	2006	1
2007	55	50	OK	2007	1
2008	76	71	OK	2008	1
2009	40	35	OK	2009	1
2010	109	104	OK	2010	1
2011	127	122	OK	2011	1
2012	68	63	OK	2012	1
1950	7	2	FL	1950	2
1951	10	5	FL	1951	2
1952	9	4	FL	1952	2
1953	19	14	FL	1953	2
1954	13	8	FL	1954	2
1955	10	5	FL	1955	2
1956	12	7	FL	1956	2
1957	14	9	FL	1957	2
1958	22	17	FL	1958	2
1959	13	8	FL	1959	2
1960	26	21	FL	1960	2
1961	14	9	FL	1961	2
1962	18	13	FL	1962	2
1963	20	15	FL	1963	2
1964	30	25	FL	1964	2
1965	12	7	FL	1965	2
1966	20	15	FL	1966	2
1967	21	16	FL	1967	2
1968	40	35	FL	1968	2
1969	40	35	FL	1969	2
1970	26	21	FL	1970	2
1971	21	16	FL	1971	2
1972	15	10	FL	1972	2
1973	15	10	FL	1973	2
1974	36	31	FL	1974	2
1975	65	60	FL	1975	2
1976	50	45	FL	1976	2
1977	30	25	FL	1977	2
1978	58	53	FL	1978	2
1979	61	56	FL	1979	2
1980	31	26	FL	1980	2
1981	35	30	FL	1981	2
1982	17	12	FL	1982	2
1983	36	31	FL	1983	2
1984	9	4	FL	1984	2
1985	12	7	FL	1985	2
1986	8	3	FL	1986	2
1987	7	2	FL	1987	2
1988	10	5	FL	1988	2
1989	8	3	FL	1989	2
1990	20	15	FL	1990	2
1991	24	19	FL	1991	2
1992	35	30	FL	1992	2
1993	47	42	FL	1993	2
1994	65	60	FL	1994	2
1995	75	70	FL	1995	2
1996	70	65	FL	1996	2
1997	118	113	FL	1997	2
1998	108	103	FL	1998	2
1999	61	56	FL	1999	2
2000	80	75	FL	2000	2
2001	74	69	FL	2001	2
2002	48	43	FL	2002	2
2003	48	43	FL	2003	2
2004	111	106	FL	2004	2
2005	59	54	FL	2005	2
2006	47	42	FL	2006	2
2007	52	47	FL	2007	2
2008	51	46	FL	2008	2
2009	40	35	FL	2009	2
2010	22	17	FL	2010	2
2011	45	40	FL	2011	2
2012	53	48	FL	2012	2
1950	30	25	KS	1950	3
1951	46	41	KS	1951	3
1952	19	14	KS	1952	3
1953	28	23	KS	1953	3
1954	45	40	KS	1954	3
1955	69	64	KS	1955	3
1956	47	42	KS	1956	3
1957	40	35	KS	1957	3
1958	34	29	KS	1958	3
1959	49	44	KS	1959	3
1960	42	37	KS	1960	3
1961	26	21	KS	1961	3
1962	47	42	KS	1962	3
1963	30	25	KS	1963	3
1964	62	57	KS	1964	3
1965	41	36	KS	1965	3
1966	31	26	KS	1966	3
1967	21	16	KS	1967	3
1968	20	15	KS	1968	3
1969	16	11	KS	1969	3
1970	21	16	KS	1970	3
1971	20	15	KS	1971	3
1972	23	18	KS	1972	3
1973	43	38	KS	1973	3
1974	33	28	KS	1974	3
1975	17	12	KS	1975	3
1976	17	12	KS	1976	3
1977	14	9	KS	1977	3
1978	24	19	KS	1978	3
1979	29	24	KS	1979	3
1980	19	14	KS	1980	3
1981	14	9	KS	1981	3
1982	56	51	KS	1982	3
1983	24	19	KS	1983	3
1984	51	46	KS	1984	3
1985	21	16	KS	1985	3
1986	25	20	KS	1986	3
1987	9	4	KS	1987	3
1988	20	15	KS	1988	3
1989	23	18	KS	1989	3
1990	55	50	KS	1990	3
1991	47	42	KS	1991	3
1992	47	42	KS	1992	3
1993	58	53	KS	1993	3
1994	30	25	KS	1994	3
1995	44	39	KS	1995	3
1996	73	68	KS	1996	3
1997	69	64	KS	1997	3
1998	76	71	KS	1998	3
1999	69	64	KS	1999	3
2000	64	59	KS	2000	3
2001	106	101	KS	2001	3
2002	101	96	KS	2002	3
2003	102	97	KS	2003	3
2004	129	124	KS	2004	3
2005	141	136	KS	2005	3
2006	100	95	KS	2006	3
2007	147	142	KS	2007	3
2008	184	179	KS	2008	3
2009	108	103	KS	2009	3
2010	95	90	KS	2010	3
2011	73	68	KS	2011	3
2012	100	95	KS	2012	3
1950	13	8	IL	1950	4
1951	10	5	IL	1951	4
1952	9	4	IL	1952	4
1953	10	5	IL	1953	4
1954	11	6	IL	1954	4
1955	23	18	IL	1955	4
1956	28	23	IL	1956	4
1957	37	32	IL	1957	4
1958	25	20	IL	1958	4
1959	32	27	IL	1959	4
1960	35	30	IL	1960	4
1961	35	30	IL	1961	4
1962	14	9	IL	1962	4
1963	16	11	IL	1963	4
1964	11	6	IL	1964	4
1965	18	13	IL	1965	4
1966	10	5	IL	1966	4
1967	26	21	IL	1967	4
1968	11	6	IL	1968	4
1969	11	6	IL	1969	4
1970	15	10	IL	1970	4
1971	18	13	IL	1971	4
1972	31	26	IL	1972	4
1973	65	60	IL	1973	4
1974	98	93	IL	1974	4
1975	36	31	IL	1975	4
1976	25	20	IL	1976	4
1977	18	13	IL	1977	4
1978	13	8	IL	1978	4
1979	8	3	IL	1979	4
1980	12	7	IL	1980	4
1981	32	27	IL	1981	4
1982	34	29	IL	1982	4
1983	8	3	IL	1983	4
1984	25	20	IL	1984	4
1985	13	8	IL	1985	4
1986	15	10	IL	1986	4
1987	13	8	IL	1987	4
1988	14	9	IL	1988	4
1989	11	6	IL	1989	4
1990	39	34	IL	1990	4
1991	20	15	IL	1991	4
1992	20	15	IL	1992	4
1993	22	17	IL	1993	4
1994	13	8	IL	1994	4
1995	61	56	IL	1995	4
1996	67	62	IL	1996	4
1997	37	32	IL	1997	4
1998	104	99	IL	1998	4
1999	69	64	IL	1999	4
2000	60	55	IL	2000	4
2001	26	21	IL	2001	4
2002	42	37	IL	2002	4
2003	128	123	IL	2003	4
2004	85	80	IL	2004	4
2005	26	21	IL	2005	4
2006	129	124	IL	2006	4
2007	28	23	IL	2007	4
2008	54	49	IL	2008	4
2009	58	53	IL	2009	4
2010	54	49	IL	2010	4
2011	78	73	IL	2011	4
2012	37	32	IL	2012	4
1950	15	10	MS	1950	5
1951	10	5	MS	1951	5
1952	10	5	MS	1952	5
1953	22	17	MS	1953	5
1954	16	11	MS	1954	5
1955	9	4	MS	1955	5
1956	11	6	MS	1956	5
1957	29	24	MS	1957	5
1958	17	12	MS	1958	5
1959	21	16	MS	1959	5
1960	10	5	MS	1960	5
1961	18	13	MS	1961	5
1962	18	13	MS	1962	5
1963	11	6	MS	1963	5
1964	9	4	MS	1964	5
1965	20	15	MS	1965	5
1966	18	13	MS	1966	5
1967	16	11	MS	1967	5
1968	19	14	MS	1968	5
